,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3784835920943469,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
1,0.24746877679338078,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
2,-0.02943169584937951,RESP2,hf/6-31g*,1.0,0.0,S,hf,3,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
3,-0.021340738508340052,RESP2,hf/6-31g*,1.0,0.0,S,hf,4,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
4,-0.24581143809767725,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
5,0.0018669204484443411,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
6,-0.23361071717301365,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
7,-0.03663500113611329,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
8,-0.2608629402610637,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
9,0.3349032705416573,RESP2,hf/6-31g*,1.0,0.0,C,hf,10,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
10,0.1608626764523423,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
11,0.16478505549062605,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
12,0.1330894798601625,RESP2,hf/6-31g*,1.0,0.0,H,hf,13,[H:13][c:8]1[c:7]([c:6]([c:5]2[c:10]([c:9]1[H:14])[C:2](=[O:1])[S:3][S:4]2)[H:11])[H:12],,
