,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.5800828551756535,RESP2,hf/6-31g*,1.0,0.0,O,hf,1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
1,0.6890481154078426,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
2,-0.1584903415053356,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
3,-0.1276741198707927,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
4,0.683430117561915,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
5,-0.5798364610607836,RESP2,hf/6-31g*,1.0,0.0,O,hf,6,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
6,-0.6154938222003427,RESP2,hf/6-31g*,1.0,0.0,N,hf,7,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
7,0.0809639879375153,RESP2,hf/6-31g*,1.0,0.0,H,hf,8,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
8,0.0809760495519527,RESP2,hf/6-31g*,1.0,0.0,H,hf,9,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
9,0.0737310224174069,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
10,0.0737631330392761,RESP2,hf/6-31g*,1.0,0.0,H,hf,11,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
11,0.3796651738969996,RESP2,hf/6-31g*,1.0,0.0,H,hf,12,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
0,-0.5834562492176882,RESP2,hf/6-31g*,1.0,0.05,O,hf,1,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
1,0.6903004360232938,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
2,-0.1584295719602626,RESP2,hf/6-31g*,1.0,0.05,C,hf,3,[H:8][C:3]1([C:2](=[O:1])[N:7]([C:5](=[O:6])[C:4]1([H:10])[H:11])[H:12])[H:9],,
