,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.3227835982538363,RESP2,hf/6-31g*,1.0,0.0,C,hf,1,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
1,0.209786277907495,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
2,-0.3664433888150568,RESP2,hf/6-31g*,1.0,0.0,C,hf,3,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
3,-0.0910054336913262,RESP2,hf/6-31g*,1.0,0.0,C,hf,4,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
4,-0.3485210498192657,RESP2,hf/6-31g*,1.0,0.0,C,hf,5,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
5,0.2271395828331543,RESP2,hf/6-31g*,1.0,0.0,C,hf,6,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
6,-0.3775373867092131,RESP2,hf/6-31g*,1.0,0.0,C,hf,7,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
7,-0.0468290565102104,RESP2,hf/6-31g*,1.0,0.0,C,hf,8,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
8,-0.2784571864930585,RESP2,hf/6-31g*,1.0,0.0,C,hf,9,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
9,0.0983935461564086,RESP2,hf/6-31g*,1.0,0.0,H,hf,10,[H:14][c:4]1[c:3]([c:2]([c:8]([c:6]([c:5]1[H:15])[C:7]([H:16])([H:17])[H:18])[C:9]([H:19])([H:20])[H:21])[C:1]([H:10])([H:11])[H:12])[H:13],,
