,Charge,Charge model,Method,Weight,Delta,Element,Grid,Atom number,smirks,Conformer,Orientation
0,-0.5818684726229507,RESP2,hf/6-31g*,1.0,0.0,N,hf,1,[H:4][N:3]([H:5])[C:2]#[N:1],,
1,0.6568092181940344,RESP2,hf/6-31g*,1.0,0.0,C,hf,2,[H:4][N:3]([H:5])[C:2]#[N:1],,
2,-0.9109509436399518,RESP2,hf/6-31g*,1.0,0.0,N,hf,3,[H:4][N:3]([H:5])[C:2]#[N:1],,
3,0.4181193263164749,RESP2,hf/6-31g*,1.0,0.0,H,hf,4,[H:4][N:3]([H:5])[C:2]#[N:1],,
4,0.4178908717523933,RESP2,hf/6-31g*,1.0,0.0,H,hf,5,[H:4][N:3]([H:5])[C:2]#[N:1],,
0,-0.5883468697320564,RESP2,hf/6-31g*,1.0,0.05,N,hf,1,[H:4][N:3]([H:5])[C:2]#[N:1],,
1,0.661991618776896,RESP2,hf/6-31g*,1.0,0.05,C,hf,2,[H:4][N:3]([H:5])[C:2]#[N:1],,
2,-0.9145050527254572,RESP2,hf/6-31g*,1.0,0.05,N,hf,3,[H:4][N:3]([H:5])[C:2]#[N:1],,
3,0.4205432274621661,RESP2,hf/6-31g*,1.0,0.05,H,hf,4,[H:4][N:3]([H:5])[C:2]#[N:1],,
4,0.4203170762184514,RESP2,hf/6-31g*,1.0,0.05,H,hf,5,[H:4][N:3]([H:5])[C:2]#[N:1],,
0,-0.5948252668411622,RESP2,hf/6-31g*,1.0,0.1,N,hf,1,[H:4][N:3]([H:5])[C:2]#[N:1],,
1,0.6671740193597578,RESP2,hf/6-31g*,1.0,0.1,C,hf,2,[H:4][N:3]([H:5])[C:2]#[N:1],,
2,-0.9180591618109626,RESP2,hf/6-31g*,1.0,0.1,N,hf,3,[H:4][N:3]([H:5])[C:2]#[N:1],,
3,0.4229671286078575,RESP2,hf/6-31g*,1.0,0.1,H,hf,4,[H:4][N:3]([H:5])[C:2]#[N:1],,
4,0.4227432806845095,RESP2,hf/6-31g*,1.0,0.1,H,hf,5,[H:4][N:3]([H:5])[C:2]#[N:1],,
